facility_name,district,level,latitude,longitude
Rwimi Health Centre III,Kabarole,HC II,,
Rwimi Prison Health Centre II,Kabarole,HC II,,
73 Fortportal Municipality HSD Sarah medical centre Health Centre II,Kabarole,HC II,,
Toro kahuna Health Centre III,Kabarole,HC II,,
75 Fortportal Municipality HSD Virika General,Kabarole,Hospital,,
Yerya Health Centre III,Kabarole,HC II,,
Abalang Health Centre II,Kaberamaido,HC II,,
Abirabira Health Centre II,Kaberamaido,HC II,,
Alem Church Of Uganda Health Centre II,Kaberamaido,HC II,,
Alwa Health Centre III,Kaberamaido,HC II,,
Anyara Health Centre III,Kaberamaido,HC II,,
Apapai Health Centre III,Kaberamaido,HC II,,
Aperikira Health Centre III,Kaberamaido,HC II,,
Bululu COU Health Centre II,Kaberamaido,HC II,,
Bululu Health Centre III,Kaberamaido,HC II,,
Kaberamaido Catholic Mission Health Centre III,Kaberamaido,HC II,,
Kaberamaido Health Centre IV,Kaberamaido,HC IV,,
Kaberamaido Prisons Clinic Health Centre II,Kaberamaido,HC II,,
Kaburepoli Health Centre II,Kaberamaido,HC II,,
Kagaa Medical Centre Health Centre II,Kaberamaido,HC II,,
Kakure Health Centre III,Kaberamaido,HC II,,
Kalaki Health Centre III,Kaberamaido,HC II,,
Kobulubulu Health Centre III,Kaberamaido,HC II,,
Lubangaber Health Centre II,Kaberamaido,HC II,,
Lwala General,Kaberamaido,Hospital,,
Maddona Health Centre II,Kaberamaido,HC II,,
Murem Health Centre II,Kaberamaido,HC II,,
Ochelakur Health Centre II,Kaberamaido,HC II,,
Ochero Health Centre III,Kaberamaido,HC II,,
Otuboi Health Centre III,Kaberamaido,HC II,,
Otuboi COU Health Centre II,Kaberamaido,HC II,,
Pekagido Health Centre III,Kaberamaido,HC II,,
Police Clinic (Kaberamaido) Health Centre II,Kaberamaido,HC II,,
Akwehaire Maternity,Kagadi,Clinic,,
Burora (Kagadi) Health Centre II,Kagadi,HC II,,
Bwikara Health Centre III,Kagadi,HC II,,
Galiboleka Health Centre II,Kagadi,HC II,,
Isunga Health Centre III,Kagadi,HC II,,
Kagadi General,Kagadi,Hospital,,
Kagadi,Kagadi,Clinic,,
Kahunde Health Centre II,Kagadi,HC II,,
Kinyarugonjo Health Centre III,Kagadi,HC II,,
Kiryanga Health Centre III,Kagadi,HC II,,
Kyabasara Health Centre II,Kagadi,HC II,,
Kyakabadiima Health Centre II,Kagadi,HC II,,
Kyamasega Health Centre II,Kagadi,HC II,,
Kyaterekera Health Centre III,Kagadi,HC II,,
Mabaale Health Centre III,Kagadi,HC II,,
Mpeefu A Health Centre II,Kagadi,HC II,,
Mpeefu B Health Centre III,Kagadi,HC II,,
Mugalike Health Centre II,Kagadi,HC II,,
Mugalike NGO Health Centre III,Kagadi,HC II,,
Muhorro Health Centre II,Kagadi,HC II,,
Muhorro Kabuga Health Centre III,Kagadi,HC II,,
Muhorro Medical Centre,Kagadi,Clinic,,
Muhorro NGO Health Centre III,Kagadi,HC II,,
Muziizi Tea Estate Health Centre II,Kagadi,HC II,,
Ndaiga Health Centre II,Kagadi,HC II,,
Pios,Kagadi,Clinic,,
Rugashari Health Centre III,Kagadi,HC II,,
St Ambrose Charity Health Centre IV,Kagadi,HC IV,,
St John Medical Centre,Kagadi,Clinic,,
St Norah Medical Centre Health Centre III,Kagadi,HC II,,
St. Micheal Nyankoma Health Centre III,Kagadi,HC II,,
Betania-Kasenyi Health Centre III,Kakumiro,HC II,,
Birembo Health Centre II,Kakumiro,HC II,,
Igayaza Health Centre III,Kakumiro,HC II,,
Jordan Medical Health Centre II,Kakumiro,HC II,,
Kabuubwa Health Centre II,Kakumiro,HC II,,
Kagame Health Centre III,Kakumiro,HC II,,
Kakindo Health Centre IV,Kakumiro,HC IV,,
Kakumiro Central Health Centre II,Kakumiro,HC II,,
Kakumiro Health Centre IV,Kakumiro,HC IV,,
Kakumiro Medical Health Centre II,Kakumiro,HC II,,
Kasambya (Kakumiro) Health Centre III,Kakumiro,HC II,,
Kigando Health Centre II,Kakumiro,HC II,,
Kisiita Health Centre III,Kakumiro,HC II,,
Kitaihuka Health Centre II,Kakumiro,HC II,,
Kkcbo Health Centre II,Kakumiro,HC II,,
Kyabasaija Health Centre III,Kakumiro,HC II,,
Kyakuterekera Health Centre III,Kakumiro,HC II,,
Masaka Health Centre II,Kakumiro,HC II,,
Mpasaana Health Centre II,Kakumiro,HC II,,
Mpasaana Health Centre III,Kakumiro,HC II,,
Mukoora Health Centre II,Kakumiro,HC II,,
Nalweyo Health Centre III,Kakumiro,HC II,,
Nchwanga Health Centre II,Kakumiro,HC II,,
Nkooko Health Centre III,Kakumiro,HC II,,
Rinamo,Kakumiro,Clinic,,
Sanyu Medical Health Centre II,Kakumiro,HC II,,
St Andrea Kahwa Kooki Health Centre III,Kakumiro,HC II,,
St George Health Centre II,Kakumiro,HC II,,
St Joseph Bukuumi Health Centre II,Kakumiro,HC II,,
St Mary’s Kakindo Health Centre III,Kakumiro,HC II,,
St Thereza Medical Health Centre III,Kakumiro,HC II,,
Stmary Life Care Health Centre III,Kakumiro,HC II,,
Bubeke Health Centre III,Kalangala,HC II,,
Bufumira Health Centre III,Kalangala,HC II,,
Bukasa Health Centre IV,Kalangala,HC IV,,
Bumangi Health Centre II,Kalangala,HC II,,
Bwendero Health Centre III,Kalangala,HC II,,
Dajje Health Centre II,Kalangala,HC II,,
Jaana Health Centre II,Kalangala,HC II,,
Kachanga Island Health Centre II,Kalangala,HC II,,
Kalangala Health Centre IV,Kalangala,HC IV,,
Kasekulo Health Centre II,Kalangala,HC II,,
Lujjabwa Island Health Centre II,Kalangala,HC II,,
Lulamba Health Centre III,Kalangala,HC II,,
Mazinga Health Centre III,Kalangala,HC II,,
Mugoye Health Centre III,Kalangala,HC II,,
Mulabana Health Centre II,Kalangala,HC II,,
Opul Medical,Kalangala,Clinic,,
Shahadah Health Centre II,Kalangala,HC II,,
Siaap Health Centre II,Kalangala,HC II,,
Ssese Medical Centre,Kalangala,Clinic,,
Budini Health Centre III,Kaliro,HC II,,
Budomero Health Centre II,Kaliro,HC II,,
Bugonza-Kanankamba Health Centre II,Kaliro,HC II,,
Bumanya Health Centre IV,Kaliro,HC IV,,
Buyinda Health Centre II,Kaliro,HC II,,
Buyuge Health Centre II,Kaliro,HC II,,
Community Health Centre Health Centre III,Kaliro,HC II,,
8Bulamogi HSD Dr. Ambrosoli Health Centre III,Kaliro,HC II,,
Dr. Kibirige’s Clinic Health Centre III,Kaliro,HC II,,
Gadumire Health Centre III,Kaliro,HC II,,
Genesis Psychiatric Clinic Health Centre II,Kaliro,HC II,,
Kaliro FLEP-Nakiyanja Health Centre II,Kaliro,HC II,,
Kaliro Maternity Clinic Health Centre III,Kaliro,HC II,,
Kaliro Medical Centre Health Centre III,Kaliro,HC II,,
West HSDKaliro Nawampiti Health Centre II,Kaliro,HC II,,
Kaliro Town Council Health Centre II,Kaliro,HC II,,
Kasokwe (Kaliro) Health Centre II,Kaliro,HC II,,
Kyani Health Centre II,Kaliro,HC II,,
Mukwano Medical Clinic Health Centre II,Kaliro,HC II,,
Nabigwali FLEP Health Centre II,Kaliro,HC II,,
Nabikooli Health Centre II,Kaliro,HC II,,
Namugongo Health Centre III,Kaliro,HC II,,
Namwiwa Health Centre III,Kaliro,HC II,,
West HSDNansololo Health Centre II,Kaliro,HC II,,
West HSDNawaikoke Health Centre III,Kaliro,HC II,,
West HSDNawampiti Dorudo Health Centre II,Kaliro,HC II,,
Smart Choice Health Services Health Centre III,Kaliro,HC II,,
1 Kalungu West HSD Kabukunge Muslim Health Centre II,Kalungu,HC II,,
2 Kalungu West HSD Bbaala Health Centre II,Kalungu,HC II,,
3 Kalungu East HSD Bukulula Health Centre IV,Kalungu,HC IV,,
4 Kalungu West HSD Bwanda (Kalungu) Health Centre II,Kalungu,HC II,,
5 Kalungu West HSD Kabaale Health Centre II,Kalungu,HC II,,
6 Kalungu West HSD Kabungo Health Centre III,Kalungu,HC II,,
7 Kalungu West HSD Kalungi Health Centre III,Kalungu,HC II,,
8 Kalungu West HSD Kalungu Health Centre III,Kalungu,HC II,,
9 Kalungu East HSD Kasambya (Kalungu) Health Centre III,Kalungu,HC II,,
10 Kalungu East HSD Kigaju Health Centre II,Kalungu,HC II,,
11 Kalungu West HSD Kigasa Health Centre II,Kalungu,HC II,,
12 Kalungu East HSD Kiragga Health Centre III,Kalungu,HC II,,
13 Kalungu East HSD Kiti Health Centre III,Kalungu,HC II,,
14 Kalungu West HSD Kiwawo Health Centre II,Kalungu,HC II,,
15 Kalungu West HSD Kyamulibwa Health Centre III,Kalungu,HC II,,
17 Kalungu East HSD Lukaya Health Centre III,Kalungu,HC II,,
18 Kalungu East HSD Mirembe Health Centre II,Kalungu,HC II,,
19 Kalungu West HSD Mrc Kyamulibwa Health Centre II,Kalungu,HC II,,
20 Kalungu East HSD Mukwano Medical Centre Health Centre II,Kalungu,HC II,,
21 Kalungu West HSD Nabutongwa Health Centre II,Kalungu,HC II,,
22 Kalungu West HSD St doreens Health Centre II,Kalungu,HC II,,
23 Kalungu West HSD St. Agnes Kasanje Health Centre II,Kalungu,HC II,,
24 Kalungu West HSD St. Dominic (Central Ward) Health Centre II,Kalungu,HC II,,
25 Kalungu East HSD St. Dominic (Mukoko) Health Centre II,Kalungu,HC II,,
26 Kalungu East HSD St. Francis Maternity Home Health Centre II,Kalungu,HC II,,
27 Kalungu East HSD St. Joseph Mother Care Health Centre II,Kalungu,HC II,,
29 Kalungu East HSD St. Monica Birongo Health Centre III,Kalungu,HC II,,
30 Kalungu East HSD Teguzibirwa Dom,Kalungu,Clinic,,
31 Kalungu East HSD Tender Hands Nursing Home Health Centre II,Kalungu,HC II,,
32 Kalungu East HSD Thereza Ledochowska Health Centre II,Kalungu,HC II,,
33 Kalungu West HSD Villa Maria General,Kalungu,Hospital,,
34 Kalungu East HSD Well Spring Health Centre III,Kalungu,HC II,,
1 Nakawa Division HSD 7 Hills Clinic Health Centre II,Kampala,HC II,,
2 Makindye Division HSD A & K Clinic Health Centre II,Kampala,HC II,,
3 Makindye Division HSD Aaa Dental & Oral Surgery Clinic Health Centre II,Kampala,HC II,,
4 Nakawa Division HSD Aar Bugolobi Health Care Health Centre II,Kampala,HC II,,
5 Central Division HSD Aar City Centre Health Centre II,Kampala,HC II,,
6 Central Division HSD Aar Clinic Acacia Health Centre II,Kampala,HC II,,
7 Makindye Division HSD Aar Kabalagala Clinic Health Centre II,Kampala,HC II,,
8 Central Division HSD Aar Makerere Branch Health Centre II,Kampala,HC II,,
9 Nakawa Division HSD Aar Ntinda Health Centre II,Kampala,HC II,,
10 Kawempe Division HSD Abc Clinic Health Centre II,Kampala,HC II,,
11 Kawempe Division HSD Abii Clinic Health Centre IV,Kampala,HC IV,,
12 Kawempe Division HSD Above All Madical Centre Health Centre II,Kampala,HC II,,
13 Nakawa Division HSD Abu Health Care Clinic Health Centre II,Kampala,HC II,,
14 Nakawa Division HSD Abuhealth Care Clinic Health Centre II,Kampala,HC II,,
15 Makindye Division HSD Access Clinic Health Centre II,Kampala,HC II,,
16 Makindye Division HSD Adcare Medical Centre Health Centre II,Kampala,HC II,,
17 Central Division HSD Adventist Medical Centre Health Centre III,Kampala,HC II,,
18 Kawempe Division HSD Aestram Medical Centre Health Centre II,Kampala,HC II,,
19 Makindye Division HSD Afaayo Medical Centre Health Centre II,Kampala,HC II,,
20 Rubaga Division HSD Afayo Clinic Health Centre II,Kampala,HC II,,
21 Central Division HSD Afram Dental Surgery Health Centre II,Kampala,HC II,,
23 Central Division HSD Aga Khan Acacia Clinic Health Centre II,Kampala,HC II,,
24 Nakawa Division HSD Aga Khan Bugolobi Clinic Health Centre II,Kampala,HC II,,
25 Central Division HSD Aga Khan Dtb Clinic Health Centre II,Kampala,HC II,,
26 Central Division HSD Aga Khan University Health Centre III,Kampala,HC II,,
27 Rubaga Division HSD Agal Awamu Clinic Health Centre II,Kampala,HC II,,
28 Rubaga Division HSD Agali Top Quality Clinic Health Centre II,Kampala,HC II,,
29 Makindye Division HSD Aggie Pharmacy & Clinic Health Centre II,Kampala,HC II,,
30 Central Division HSD AIDS Information Centre Kampala Special,Kampala,Clinic,,
31 Central Division HSD Ajax Dental Clinic Health Centre II,Kampala,HC II,,
32 Rubaga Division HSD Aka Medical Care Centre Health Centre II,Kampala,HC II,,
33 Kawempe Division HSD Akugoba Domecillian Health Centre II,Kampala,HC II,,
34 Central Division HSD Akwata Empora Clinic Health Centre II,Kampala,HC II,,
35 Central Division HSD Ali Medical Services Health Centre II,Kampala,HC II,,
36 Makindye Division HSD Alinda Orthopaedic Clinic Health Centre II,Kampala,HC II,,
37 Rubaga Division HSD Alison Medical Center Health Centre II,Kampala,HC II,,
38 Makindye Division HSD Alive Medical Services Special,Kampala,Clinic,,
39 Makindye Division HSD All Saints Clinic Lukuli Health Centre II,Kampala,HC II,,
40 Makindye Division HSD All Saints Medical. Center Health Centre II,Kampala,HC II,,
41 Kawempe Division HSD Allied Consultancy Clinic Health Centre II,Kampala,HC II,,
42 Nakawa Division HSD Allied Family Medical Clinic Health Centre II,Kampala,HC II,,
43 Makindye Division HSD Allied Health Clinic Health Centre II,Kampala,HC II,,
44 Nakawa Division HSD Allied Life Care Clinic Health Centre II,Kampala,HC II,,
45 Makindye Division HSD Allsaints Medical Centre Health Centre II,Kampala,HC II,,
46 Rubaga Division HSD Alpha 2 Clinic Health Centre II,Kampala,HC II,,
47 Kawempe Division HSD Alpha And Omega Clinic Health Centre II,Kampala,HC II,,
48 Makindye Division HSD Alpha And Omega Medical Centre Health Centre II,Kampala,HC II,,
49 Kawempe Division HSD Alpha Clinic (Kawempe) Health Centre II,Kampala,HC II,,
50 Nakawa Division HSD Alpha Clinic Health Centre II,Kampala,HC II,,
51 Nakawa Division HSD Alpha Clinical Laboratories Health Centre II,Kampala,HC II,,
52 Nakawa Division HSD Alpha Medical Centre (Banda) Health Centre II,Kampala,HC II,,
53 Makindye Division HSD Alpha Medical Centre (Lukuli) Health Centre II,Kampala,HC II,,
54 Makindye Division HSD Alpha Medical Centre (Makindye II) Health Centre II,Kampala,HC II,,
55 Kawempe Division HSD Alpha Medical Centre (Mulago II) Health Centre II,Kampala,HC II,,
56 Rubaga Division HSD Alpha Medical Clinic (Kasubi) Health Centre II,Kampala,HC II,,
57 Makindye Division HSD Alpha Medical Clinic (Luwafu) Health Centre II,Kampala,HC II,,
58 Rubaga Division HSD Amadeo Clinic Health Centre II,Kampala,HC II,,
59 Kawempe Division HSD Ambassador Of God Clinic Health Centre II,Kampala,HC II,,
60 Nakawa Division HSD Amber Medical Care Health Centre II,Kampala,HC II,,
61 Kawempe Division HSD Amen Doctors Clinic Health Centre II,Kampala,HC II,,
62 Central Division HSD Ameny Dental Clinic Health Centre II,Kampala,HC II,,
63 Rubaga Division HSD Ami Clinic Health Centre II,Kampala,HC II,,
64 Central Division HSD Anajimu Medical Centre Health Centre II,Kampala,HC II,,
65 Central Division HSD Andrew Medical Centre Health Centre II,Kampala,HC II,,
66 Nakawa Division HSD Anex Medical Centre Health Centre II,Kampala,HC II,,
67 Rubaga Division HSD Angelina Domiciliary Clinic Health Centre II,Kampala,HC II,,
68 Makindye Division HSD Ann Medical Centre Health Centre II,Kampala,HC II,,
69 Nakawa Division HSD Anna Medical Centre Health Centre II,Kampala,HC II,,
70 Kawempe Division HSD Apac Medical Centre (Mulago III) Health Centre II,Kampala,HC II,,
71 Nakawa Division HSD Apostle Domiciliary Clinic Health Centre II,Kampala,HC II,,
72 Kawempe Division HSD Arif Clinic Health Centre II,Kampala,HC II,,
73 Makindye Division HSD Ark Medical Clinic Health Centre II,Kampala,HC II,,
74 Kawempe Division HSD Asaasira Medical Centre Health Centre II,Kampala,HC II,,
75 Makindye Division HSD Asaba Domicilliary Clinic Health Centre II,Kampala,HC II,,
76 Makindye Division HSD Asante Medical Centre Health Centre II,Kampala,HC II,,
77 Makindye Division HSD Ashas Clinic Health Centre II,Kampala,HC II,,
78 Kawempe Division HSD Ashock Health Care Health Centre II,Kampala,HC II,,
79 Kawempe Division HSD Astra Care Clinic Health Centre II,Kampala,HC II,,
80 Kawempe Division HSD Astro Dental Services Health Centre II,Kampala,HC II,,
81 Makindye Division HSD Ayebare Care Clinic Health Centre II,Kampala,HC II,,
82 Makindye Division HSD Azura Medicare Health Centre II,Kampala,HC II,,
83 Kawempe Division HSD B L Clinic Health Centre II,Kampala,HC II,,
84 Kawempe Division HSD B.J Medical Clinic. Health Centre II,Kampala,HC II,,
85 Nakawa Division HSD B.O.N Dental Clinic Health Centre II,Kampala,HC II,,
86 Makindye Division HSD Back Pain Health Centre II,Kampala,HC II,,
88 Kawempe Division HSD Bajja-Basaaga Clinic Health Centre II,Kampala,HC II,,
89 Kawempe Division HSD Bambi Medical Consultants Health Centre II,Kampala,HC II,,
90 Nakawa Division HSD Banda Community Health Centre Health Centre II,Kampala,HC II,,
91 Central Division HSD Banda Dental Clinic Health Centre II,Kampala,HC II,,
92 Nakawa Division HSD Banda Life Care Clinic Health Centre II,Kampala,HC II,,
93 Central Division HSD Bank Of Uganda Clinic Health Centre II,Kampala,HC II,,
94 Rubaga Division HSD Basic Medical Centre Health Centre II,Kampala,HC II,,
95 Rubaga Division HSD Basiima Healthy Care Health Centre II,Kampala,HC II,,
96 Central Division HSD Basil’S Dental Clinic Health Centre II,Kampala,HC II,,
97 Makindye Division HSD Baylor Medical Centre Health Centre II,Kampala,HC II,,
98 Rubaga Division HSD Bazadde Clinic Health Centre II,Kampala,HC II,,
99 Makindye Division HSD Bazilima Clinic Health Centre II,Kampala,HC II,,
100 Kawempe Division HSD Beatrice Medical Services Health Centre II,Kampala,HC II,,
101 Makindye Division HSD Beersheba Clinic Health Centre II,Kampala,HC II,,
102 Makindye Division HSD Beijing Clinic Health Centre II,Kampala,HC II,,
103 Nakawa Division HSD Bendo Clinic Health Centre II,Kampala,HC II,,
104 Nakawa Division HSD Benedict Health Centre IV,Kampala,HC IV,,
106 Rubaga Division HSD Beta Clinic Health Centre II,Kampala,HC II,,
107 Nakawa Division HSD Bethany Childrens Clinic Health Centre II,Kampala,HC II,,
108 Nakawa Division HSD Bethany Womens And Family Health Centre III,Kampala,HC II,,
109 Kawempe Division HSD Bethel Medical Consult Clinic Health Centre II,Kampala,HC II,,
110 Makindye Division HSD Bethelem Medical Clinic Health Centre II,Kampala,HC II,,
111 Central Division HSD Bethesda Medical Centre Health Centre III,Kampala,HC II,,
112 Kawempe Division HSD Better Life Clinic Health Centre II,Kampala,HC II,,
113 Rubaga Division HSD Bfk Care Clinic Health Centre II,Kampala,HC II,,
114 Central Division HSD Bigo Dental Clinic Health Centre II,Kampala,HC II,,
115 Central Division HSD Bio Eye Specialists Health Centre III,Kampala,HC II,,
116 Makindye Division HSD Biorex Medical Services Health Centre II,Kampala,HC II,,
118 Central Division HSD Biva Maternity And Heath Clinic Health Centre III,Kampala,HC II,,
119 Rubaga Division HSD Biva Medical Centre Health Centre II,Kampala,HC II,,
120 Rubaga Division HSD Biyinzika Clinic Health Centre II,Kampala,HC II,,
121 Kawempe Division HSD Bk Clinic Health Centre II,Kampala,HC II,,
122 Rubaga Division HSD Blessed Clinic Health Centre II,Kampala,HC II,,
123 Kawempe Division HSD Blessed Clinic (Bwaise II) Health Centre II,Kampala,HC II,,
124 Kawempe Division HSD Blessed Clinic (Kazo Angola) Health Centre II,Kampala,HC II,,
125 Nakawa Division HSD Blessed Clinic (Ntinda) Health Centre II,Kampala,HC II,,
126 Makindye Division HSD Blessed Medical Care Health Centre II,Kampala,HC II,,
127 Nakawa Division HSD Blessed Medical Center Health Centre II,Kampala,HC II,,
128 Rubaga Division HSD Blessed Medical Clinic (Kasubi) Health Centre II,Kampala,HC II,,
129 Makindye Division HSD Blessed Medical Clinic (Salaama) Health Centre II,Kampala,HC II,,
130 Nakawa Division HSD Blessing Clinic Health Centre II,Kampala,HC II,,
131 Makindye Division HSD Blessing Medical Centre Health Centre II,Kampala,HC II,,
132 Rubaga Division HSD Blue Sky Medical Clinic Health Centre II,Kampala,HC II,,
133 Kawempe Division HSD Braakline Clinic Health Centre II,Kampala,HC II,,
134 Rubaga Division HSD Bright Medical Centre Health Centre II,Kampala,HC II,,
135 Makindye Division HSD Broad Medi Clinic Health Centre II,Kampala,HC II,,
136 Rubaga Division HSD Bs Medical Centre Health Centre II,Kampala,HC II,,
137 Nakawa Division HSD Bugolobi Medical Center Health Centre IV,Kampala,HC IV,,
139 Nakawa Division HSD Bukoto Health Center Health Centre II,Kampala,HC II,,
140 Kawempe Division HSD Bulamu Bwebugaga Medical Clinic Health Centre II,Kampala,HC II,,
141 Makindye Division HSD Bulamu Health Care Clinic Health Centre II,Kampala,HC II,,
142 Rubaga Division HSD Bulamu Medical Care Clinic Health Centre II,Kampala,HC II,,
143 Nakawa Division HSD Bulamu Medical Centre Health Centre II,Kampala,HC II,,
144 Makindye Division HSD Bulamu Treatment Centre Health Centre II,Kampala,HC II,,
145 Makindye Division HSD Bunga Maternity Clinic Health Centre II,Kampala,HC II,,
146 Rubaga Division HSD Busabala Road Nursing Home Health Centre II,Kampala,HC II,,
147 Rubaga Division HSD Busega Clinic Health Centre II,Kampala,HC II,,
148 Central Division HSD Businge Medical Centre Health Centre II,Kampala,HC II,,
149 Kawempe Division HSD Busingye Medical Centre Health Centre II,Kampala,HC II,,
150 Makindye Division HSD Busingye Muhereza Clinic Health Centre II,Kampala,HC II,,
151 Kawempe Division HSD Bussy Bee Dental Clinic Health Centre II,Kampala,HC II,,
152 Kawempe Division HSD Busy Bee Dental Clinic Health Centre II,Kampala,HC II,,
153 Nakawa Division HSD Butabika National Referral,Kampala,Hospital,,
154Kawempe Division HSD Bwaise Health,Kampala,Clinic,,
155 Rubaga Division HSD Bwegombe Domiciliary Clinic Health Centre II,Kampala,HC II,,
156 Rubaga Division HSD Bwogi Medical Centre Health Centre II,Kampala,HC II,,
157 Nakawa Division HSD Canaan Clinic Health Centre II,Kampala,HC II,,
158 Nakawa Division HSD Canaanite Health Center Health Centre II,Kampala,HC II,,
159 Rubaga Division HSD Capital Care Medical Centre Health Centre II,Kampala,HC II,,
160 Nakawa Division HSD Capital Medical Consvultants Health Centre II,Kampala,HC II,,
161 Rubaga Division HSD Capston Medical Specialist Health Centre II,Kampala,HC II,,
162 Central Division HSD Care Clinic Health Centre II,Kampala,HC II,,
163 Makindye Division HSD Care For The Sick Health Center Health Centre II,Kampala,HC II,,
164 Makindye Division HSD Care Medic Health Centre II,Kampala,HC II,,
165 Makindye Division HSD Care Medical Clinic Health Centre II,Kampala,HC II,,
166 Makindye Division HSD Care Plus Clinic Health Centre II,Kampala,HC II,,
167 Central Division HSD Care Plus Medical Clinic Health Centre II,Kampala,HC II,,
168 Kawempe Division HSD Care Uganda Health Centre II,Kampala,HC II,,
169 Makindye Division HSD Caremedic Clinic Health Centre II,Kampala,HC II,,
170 Rubaga Division HSD Carewell Medical Clinic Health Centre II,Kampala,HC II,,
171 Kawempe Division HSD Carrapy Clinic Health Centre II,Kampala,HC II,,
172 Central Division HSD Case Medical Centre General,Kampala,Hospital,,
173 Rubaga Division HSD Catherine Medical Care Health Centre II,Kampala,HC II,,
174 Nakawa Division HSD Centenary Medical Health Centre II,Kampala,HC II,,
175 Kawempe Division HSD Center Clinic Health Centre II,Kampala,HC II,,
176 Rubaga Division HSD Central Medical Services Health Centre II,Kampala,HC II,,
177 Kawempe Division HSD Centrise Clinic Health Centre II,Kampala,HC II,,
178Central Division HSD Channel Street Combined Consultancy,Kampala,Clinic,,
179 Makindye Division HSD Chapman Doctor’s Clinic Health Centre II,Kampala,HC II,,
180 Kawempe Division HSD Child And Family Medical Clinic Health Centre II,Kampala,HC II,,
181 Central Division HSD Children’S Clinic Kampala Health Centre II,Kampala,HC II,,
183 Nakawa Division HSD Childrens Medical Center Health Centre II,Kampala,HC II,,
185 Makindye Division HSD Chinese Clinic Centre Health Centre II,Kampala,HC II,,
186 Nakawa Division HSD Chinese Clinic Health Centre II,Kampala,HC II,,
187 Makindye Division HSD Choice Medical Clinic Health Centre II,Kampala,HC II,,
188 Nakawa Division HSD Christ Medical Centre Health Centre II,Kampala,HC II,,
189 Nakawa Division HSD Christ The King Medical Center Health Centre II,Kampala,HC II,,
190 Central Division HSD Church Road Clinic Health Centre II,Kampala,HC II,,
191 Nakawa Division HSD Church Road Clinic Health Centre II,Kampala,HC II,,
192 Makindye Division HSD Cipi Medical Clinc Health Centre II,Kampala,HC II,,
193 Makindye Division HSD Citezen Clinic Health Centre II,Kampala,HC II,,
194 Nakawa Division HSD Citizen Medical Clinic (Bukoto I) Health Centre II,Kampala,HC II,,
195 Central Division HSD Citizen Medical Clinic (Kamwokya II) Health Centre II,Kampala,HC II,,
196 Makindye Division HSD Citizen Medical Clinic (Luwafu) Health Centre II,Kampala,HC II,,
197 Makindye Division HSD Citizen’S Medical Care Center Health Centre II,Kampala,HC II,,
198 Nakawa Division HSD City Clinic Dental Associates Health Centre II,Kampala,HC II,,
199 Kawempe Division HSD City Family Clinnic Health Centre II,Kampala,HC II,,
200 Central Division HSD City Hall Clinic Health Centre II,Kampala,HC II,,
201 Nakawa Division HSD City Medicals Health Centre II,Kampala,HC II,,
202 Makindye Division HSD City Side Clinic Health Centre II,Kampala,HC II,,
203 Makindye Division HSD Clara Skin Clinic Health Centre II,Kampala,HC II,,
204 Kawempe Division HSD Clement Med Care Clinic Health Centre II,Kampala,HC II,,
205 Kawempe Division HSD Clinic 28 Health Centre II,Kampala,HC II,,
206 Central Division HSD Clinix Health Care Health Centre II,Kampala,HC II,,
207 Makindye Division HSD Clockwise Clinic Health Centre II,Kampala,HC II,,
208 Central Division HSD Clty Clinic Health Centre II,Kampala,HC II,,
209 Nakawa Division HSD Cms Christ Medical Center Health Centre II,Kampala,HC II,,
210 Central Division HSD Code Clinic Health Centre II,Kampala,HC II,,
211 Central Division HSD Combined Dental Care Clinic Health Centre II,Kampala,HC II,,
212 Rubaga Division HSD Comfort Home Care Health Centre II,Kampala,HC II,,
213 Makindye Division HSD Comfort Medical Clinic Health Centre II,Kampala,HC II,,
214 Makindye Division HSD Community Clinic (Kibuli) Health Centre II,Kampala,HC II,,
215Makindye Division HSD Community,Kampala,Clinic,,
216 Rubaga Division HSD Compassion Medical Centre Health Centre II,Kampala,HC II,,
217 Central Division HSD Concern Health Services Health Centre II,Kampala,HC II,,
218 Makindye Division HSD Conslation Clinic Health Centre II,Kampala,HC II,,
220Nakawa Division HSD Consult,Kampala,Clinic,,
221 Kawempe Division HSD Cornerstone Surgery Health Centre II,Kampala,HC II,,
222 Kawempe Division HSD Cortex Medical Clinic Health Centre II,Kampala,HC II,,
223 Rubaga Division HSD Country Clinic Health Centre II,Kampala,HC II,,
224 Central Division HSD Cowen And Rifkin Opticians Health Centre II,Kampala,HC II,,
225 Rubaga Division HSD Coweser Medical Clinic Health Centre II,Kampala,HC II,,
226 Central Division HSD Crane Health Services Health Centre II,Kampala,HC II,,
227 Kawempe Division HSD Crecsent Hills Health Centre II,Kampala,HC II,,
228 Kawempe Division HSD Crescent Hills Health Service Health Centre II,Kampala,HC II,,
229 Kawempe Division HSD Crown Care Clinic Health Centre II,Kampala,HC II,,
230 Rubaga Division HSD Crusader Medical Centre Health Centre II,Kampala,HC II,,
231 Nakawa Division HSD CSL Medical Centre Health Centre II,Kampala,HC II,,
232 Makindye Division HSD Cure Centre Health Centre II,Kampala,HC II,,
233 Makindye Division HSD Cure Clinic Health Centre II,Kampala,HC II,,
234 Kawempe Division HSD Cure Day Medical And Diagnostic Health Centre II,Kampala,HC II,,
235 Kawempe Division HSD Cure Medical Centre (Kanyanya) Health Centre II,Kampala,HC II,,
