facility_name,district,level,latitude,longitude,gps_source
Maracha General,Maracha,Hospital,3.2362351,30.9217314,OSM (match: 120%)
27Masaka Municipality HSD Masaka (Kitovu,Masaka,Hospital,-0.3438561,31.7588200,OSM (match: 100%)
31 Masaka Municipality HSD Masaka Regional Referral,Masaka,Hospital,-0.3291154,31.7352284,OSM (match: 107%)
41Masaka Municipality HSD St. Joseph Kitovu General,Masaka,Hospital,-0.3438561,31.7588200,OSM (match: 88%)
27 Masindi Municipality HSD Masindi General General,Masindi,Hospital,1.6842107,31.7154878,OSM (match: 85%)
10 Bunya West HSD Buluba General,Mayuge,Hospital,,,Not found in OSM
18 Mbale Municipality HSD Cure Childrenâ€™s General,Mbale,Hospital,1.0764209,34.1767819,OSM (match: 68%)
33Mbale Municipality HSD Mbale (Mbale,Mbale,Hospital,1.0764209,34.1767819,OSM (match: 74%)
37 Mbale Municipality HSD Mbale Regional Referral,Mbale,Hospital,1.0764209,34.1767819,OSM (match: 108%)
39 Mbale Municipality HSD Mt. Elgon General,Mbale,Hospital,1.0764209,34.1767819,OSM (match: 73%)
13 Mbarara Municipal Council HSD Devine Mercy General,Mbarara,Hospital,-0.5892951,30.6734576,OSM (match: 75%)
14 Mbarara Municipal Council HSD Holy Innocents Children’s General,Mbarara,Hospital,-0.6232312,30.6467288,OSM (match: 71%)
39 Mbarara Municipal Council HSD Mayanja Memorial General,Mbarara,Hospital,-0.6167699,30.6584069,OSM (match: 74%)
41 Mbarara Municipal Council HSD Mbarara Community General,Mbarara,Hospital,-0.5892951,30.6734576,OSM (match: 85%)
46 Mbarara Municipal Council HSD Mbarara Regional Referral,Mbarara,Hospital,-0.6167699,30.6584069,OSM (match: 94%)
63Mbarara Municipal Council HSD Ruharo Mission General,Mbarara,Hospital,-0.6167699,30.6584069,OSM (match: 69%)
38 Mityana South HSD Mityana General,Mityana,Hospital,0.3974846,32.0423887,OSM (match: 70%)
13 Moroto Municipality HSD Moroto Regional Referral,Moroto,Hospital,2.5311408,34.6560689,OSM (match: 107%)
33 West Moyo HSD Moyo General,Moyo,Hospital,3.6580568,31.7277545,OSM (match: 64%)
32 Mawokota South HSD Nkozi General,Mpigi,Hospital,,,Not found in OSM
64 Mubende Municipality HSD Mubende Regional Referral,Mubende,Hospital,0.5678034,31.3928822,OSM (match: 106%)
89 Mubende Municipality HSD True Vine General,Mubende,Hospital,0.5678034,31.3928822,OSM (match: 77%)
Naggalama General,Mukono,Hospital,0.5258641,32.7793731,OSM (match: 100%)
90 Mukono Municipality HSD Uganda Matyrs General,Mukono,Hospital,0.5075522,32.7530686,OSM (match: 79%)
Kiwoko General,Nakaseke,Hospital,0.8396564,32.3603492,OSM (match: 100%)
Nakaseke General,Nakaseke,Hospital,0.7203429,32.3984813,OSM (match: 120%)
Nakasongola Military General,Nakasongola,Hospital,1.3229326,32.4661016,OSM (match: 120%)
Matany General,Napak,Hospital,2.4542434,34.2401034,OSM (match: 100%)
Angal General,Nebbi,Hospital,2.4085167,31.1938412,OSM (match: 100%)
Nebbi General,Nebbi,Hospital,2.4768732,31.0857538,OSM (match: 120%)
20Padyere HSD Nebbi (Angal,Nebbi,Hospital,2.4085618,31.1937693,OSM (match: 120%)
Ngora Freda Carr General,Ngora,Hospital,1.4773772,33.7942535,OSM (match: 120%)
Itojo General,Ntungamo,Hospital,-0.7877116,30.2773781,OSM (match: 100%)
Anaka General,Nwoya,Hospital,2.5997690,31.9467607,OSM (match: 120%)
3 Oyam North HSD Aber General,Oyam,Hospital,0.6200550,34.0820382,OSM (match: 75%)
Kanginima General,Pallisa,Hospital,0.7036437,32.9036681,OSM (match: 62%)
Pallisa General,Pallisa,Hospital,1.1761322,33.7110114,OSM (match: 120%)
Kalisizo General,Rakai,Hospital,-0.5356552,31.6228355,OSM (match: 100%)
Rakai General,Rakai,Hospital,-0.7134964,31.4030344,OSM (match: 120%)
Kisiizi General,Rukungiri,Hospital,-0.9979585,29.9439616,OSM (match: 100%)
59 Rukungiri Municipality HSD Nyakibale General,Rukungiri,Hospital,-0.7811020,29.9245165,OSM (match: 84%)
Bamu General,Sembabule,Hospital,-0.0831523,31.4605744,OSM (match: 100%)
18 Sheema South HSD Kitagata General,Sheema,Hospital,-0.6153937,30.0483962,OSM (match: 64%)
9 Soroti Municipality HSD Bethesda General,Soroti,Hospital,1.7176546,33.6133464,OSM (match: 73%)
43 Soroti Municipality HSD Soroti Regional Referral,Soroti,Hospital,1.7176546,33.6133464,OSM (match: 107%)
6 Tororo Municipality HSD Benedictine Eye General,Tororo,Hospital,0.6944358,34.1871687,OSM (match: 63%)
12 Tororo Municipality HSD Divine Mercy General,Tororo,Hospital,-0.5892951,30.6734576,OSM (match: 77%)
17 Tororo Municipality HSD Geel General,Tororo,Hospital,0.6944358,34.1871687,OSM (match: 91%)
27 Tororo Municipality HSD Jrc Medical Chambers General,Tororo,Hospital,0.3249455,32.5752362,OSM (match: 67%)
99 West Budama South HSD Rubongi Military General,Tororo,Hospital,,,Not found in OSM
108 Tororo Municipality HSD St. Anthony’s General,Tororo,Hospital,0.6829931,34.1799132,OSM (match: 73%)
114 Tororo Municipality HSD Tororo General,Tororo,Hospital,0.6944358,34.1871687,OSM (match: 83%)
59 Busiro South HSD Corsu Rehabilitation General,Wakiso,Hospital,0.1326038,32.5358105,OSM (match: 75%)
68 Kyadondo South HSD Doctors,Wakiso,Hospital,0.9873539,34.2240104,OSM (match: 60%)
74 Entebbe Municipality HSD Entebbe General,Wakiso,Hospital,0.0640418,32.4710810,OSM (match: 64%)
84 Kyadondo East HSD Family Care General,Wakiso,Hospital,0.3852074,32.5779855,OSM (match: 61%)
179 Busiro South HSD Kisubi General,Wakiso,Hospital,,,Not found in OSM
199 Kyadondo South HSD Le Memorial medical services General,Wakiso,Hospital,0.3195689,32.6226587,OSM (match: 79%)
205 Kyadondo East HSD Life Link General,Wakiso,Hospital,,,Not found in OSM
240 Busiro North HSD Medik General,Wakiso,Hospital,,,Not found in OSM
323 Kyadondo North HSD Ruth GayLord General,Wakiso,Hospital,0.3879817,32.5513654,OSM (match: 62%)
327 Kyadondo East HSD Saidina Abubakar Islamic General,Wakiso,Hospital,0.4355604,32.5350832,OSM (match: 77%)
Yumbe General,Yumbe,Hospital,3.4399977,31.1872988,OSM (match: 120%)
Nyapea General,Zombo,Hospital,2.4609624,30.9502883,OSM (match: 100%)
